X7_CAMPO;X7_SEQUENC;X7_REGRA;X7_CDOMIN;X7_TIPO;X7_SEEK;X7_ALIAS;X7_ORDEM;X7_CHAVE;X7_CONDIC;X7_PROPRI
U92_MOTORI;001;DA4->DA4_NOME;U92_NOMOTO;P;S;DA4;3;xFilial('DA4')+M->U92_MOTORI;;U
U98_OPERAD;001;SUBSTR(POSICIONE("MDE",1,XFILIAL("MDE")+M->U98_OPERAD,"MDE_DESC"),1,TamSX3("U98_NOME")[1]);U98_NOME;P;N;;0;;;U
U99_UTILIZ;001;iif(M->U99_UTILIZ=="V","TEMP","");U99_CAMPO;P;N;;0;;;U
U99_UTILIZ;002;iif(FWFldGet('U98_TIPARQ')=="1","D","C");U99_TIPPOS;P;N;;0;;;U
U99_CAMPO;001;POSICIONE("SX3",2,M->U99_CAMPO,"X3_TITULO");U99_TITULO;P;N;;0;;;U
U99_CAMPO;002;POSICIONE("SX3",2,M->U99_CAMPO,"X3_TIPO");U99_TIPOCP;P;N;;0;;;U
UB4_PROD;001;SB1->B1_DESC;UB4_DESCRI;P;S;SB1;1;XFILIAL('SB1')+M->UB4_PROD;;U
UC2_ROTINA;001;Posicione('SX5',1,xFilial('SX5')+'U5'+M->UC2_ROTINA,'X5_DESCRI');UC2_DESROT;P;N;;0;;;U
UC4_SEG;001;UC3->UC3_DESC;UC4_DESC;P;S;UC3;1;xFilial("UC3")+M->UC4_SEG;;U
UC4_LIMVEN;001;U_TRETE32A();UC4_SALDO;P;N;;0;;;U
UC4_LIMSAQ;001;U_TRETE32A();UC4_SALSAQ;P;N;;0;;;U
UC5_FILERP;001;FWArrFilAtu(,M->UC5_FILERP)[7];UC5_FILNOM;P;N;;0;;;U
UC5_FILERP;002;FWArrFilAtu(,M->UC5_FILERP)[18];UC5_CNPJ;P;N;;0;;;U
UH8_FORNEC;001;SubStr(SA2->A2_NOME,1,TamSX3("UH8_NOME")[1]);UH8_NOME;P;S;SA2;1;XFILIAL('SA2')+M->UH8_FORNEC+M->UH8_LOJA;;U
UH8_FORNEC;002;SA2->A2_CGC;UH8_CGC;P;N;;0;;;U
