X3_ARQUIVO;X3_ORDEM;X3_CAMPO;X3_TIPO;X3_TAMANHO;X3_DECIMAL;X3_TITULO;X3_TITSPA;X3_TITENG;X3_DESCRIC;X3_DESCSPA;X3_DESCENG;X3_PICTURE;X3_VALID;X3_USADO;X3_RELACAO;X3_F3;X3_NIVEL;X3_RESERV;X3_CHECK;X3_TRIGGER;X3_PROPRI;X3_BROWSE;X3_VISUAL;X3_CONTEXT;X3_OBRIGAT;X3_VLDUSER;X3_CBOX;X3_CBOXSPA;X3_CBOXENG;X3_PICTVAR;X3_WHEN;X3_INIBRW;X3_GRPSXG;X3_FOLDER;X3_PYME;X3_CONDSQL;X3_CHKSQL;X3_IDXSRV;X3_ORTOGRA;X3_IDXFLD;X3_TELA;X3_AGRUP
SA1;E0;A1_XFROTA;C;1;0;Frota?;Frota?;Frota?;Veiculo e obrigatorio?;Veiculo e obrigatorio?;Veiculo e obrigatorio?;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;'N';;0;xxxx x;;;U;N;A;R;;;S=Sim|N=Nao;S=Sim|N=Nao;S=Sim|N=Nao;;;;;5;;;;;N;N;;
SA1;E1;A1_XRESTRI;C;1;0;Restri. Veic;Retri. Veic?;Retri. Veic?;Restringe Veiculo?;Restringe Veiculo?;Restringe Veiculo?;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;'N';;0;xxxx x;;;U;N;A;R;;;S=Sim|N=Nao;S=Sim|N=Nao;S=Sim|N=Nao;;;;;5;;;;;N;N;;
SA1;E2;A1_XMOTOR;C;1;0;Motorista?;Motorista?;Motorista?;Motorista e obrigatorio?;Motorista e obrigatorio?;Motorista e obrigatorio?;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;'N';;0;xxxx x;;;U;N;A;R;;;S=Sim|N=Nao;S=Sim|N=Nao;S=Sim|N=Nao;;;;;5;;;;;N;N;;
SA1;E3;A1_XODOMET;C;1;0;Odometro?;Odometro?;Odometro?;Odometro e obrigatorio?;Odometro e obrigatorio?;Odometro e obrigatorio?;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;"N";;0;xxxx x;;;U;N;A;R;;;S=Sim|N=Nao;S=Sim|N=Nao;S=Sim|N=Nao;;;;;5;;;;;N;N;;
SA1;E4;A1_XTIPONF;C;1;0;NFe / NFCe?;NFe / NFCe?;NFe / NFCe?;Gera NFe ou NFCe no PDV?;Gera NFe ou NFCe no PDV?;Gera NFe ou NFCe no PDV?;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;N;A;R;;;1=NFe|2=NFCe;1=NFe|2=NFCe;1=NFe|2=NFCe;;;;;5;;;;;N;N;;
SA1;E5;A1_XFILBLQ;C;250;0;Filial Blq.;Filial Blq.;Filial Blq.;Filial Bloqueada;Filial Bloqueada;Filial Bloqueada;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;SA1BLQ;0;xxxx x;;;U;N;A;R;;U_UVldFilB(M->A1_XFILBLQ);;;;;;;;5;;;;;N;N;;
SA1;E6;A1_XEMCHQ;C;1;0;Emit.Cheque?;Emit.Cheque?;Emit.Cheque?;Emitente de Cheque?;Emitente de Cheque?;Emitente de Cheque?;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;'S';;0;xxxx x;;;U;N;A;R;;;S=Sim|N=Nao;S=Sim|N=Nao;S=Sim|N=Nao;;;;;5;;;;;N;N;;
SA1;E7;A1_XEMICF;C;1;0;Emi C. Frete;Emi C. Frete;Emi C. Frete;Emitente Carta Frete;Emitente Carta Frete;Emitente Carta Frete;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;"N";;0;xxxx x;;;U;N;A;R;;;S=Sim|N=Nao;;;;;;;5;;;;;N;N;;
SA1;E8;A1_XCONDCF;C;3;0;Cond Pag CF;Cond Pag CF;Cond Pag CF;Cond. Pgto Carta Frete;Cond. Pgto Carta Frete;Cond. Pgto Carta Frete;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;SE4;0;xxxx x;;;U;N;A;R;;;;;;;;;;5;;;;;N;N;;
SA1;E9;A1_XLC;N;14;2;Vlr Lim Vend;Vlr Lim Vend;Vlr Lim Vend;Valor Limite Venda;Valor Limite Venda;Valor Limite Venda;@E 99,999,999,999.99;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;S;U;N;A;R;;Positivo();;;;;!SuperGetMv("TP_ACTLCS",,.F.);;;5;;;;;N;N;;
